trip_id,arrival_time,departure_time,stop_id,stop_sequence
B1,00:00:00,00:00:00,316823148,1
B1,00:05:00,00:05:00,3909161113,2
B1,00:10:00,00:10:00,3880407513,3
B1,00:15:00,00:15:00,3909161121,4
B1,00:20:00,00:20:00,3909161122,5
B1,00:25:00,00:25:00,3909161123,6
B1,00:30:00,00:30:00,1886590988,7
B1,00:35:00,00:35:00,1886590968,8
B1,00:40:00,00:40:00,4792326286,9
B1,00:45:00,00:45:00,8412131579,10
B1,00:50:00,00:50:00,316824347,11
B1,00:55:00,00:55:00,5969128858,12
B1,01:00:00,01:00:00,3950015169,13
B1,01:05:00,01:05:00,316829952,14
B1,01:10:00,01:10:00,4628330183,15
B1,01:15:00,01:15:00,4748562215,16
B1,01:20:00,01:20:00,1885060212,17
B1,01:25:00,01:25:00,4002201650,18
B1,01:30:00,01:30:00,4748507684,19
B1,01:35:00,01:35:00,6095379250,20
B1,01:40:00,01:40:00,316824433,21
B1,01:45:00,01:45:00,401866306,22
B1,01:50:00,01:50:00,10970120024,23
B1,01:55:00,01:55:00,6095433434,24
B1,02:00:00,02:00:00,6095471258,25
B1,02:05:00,02:05:00,6095433435,26
B1,02:10:00,02:10:00,6095519914,27
B1,02:15:00,02:15:00,4984424561,28
B1,02:20:00,02:20:00,1263172984,29
B1,02:25:00,02:25:00,1263173062,30
B1,02:30:00,02:30:00,316824788,31
B2,00:00:00,00:00:00,316823148,1
B2,00:05:00,00:05:00,3909161113,2
B2,00:10:00,00:10:00,3880407513,3
B2,00:15:00,00:15:00,3909161121,4
B2,00:20:00,00:20:00,3909161122,5
B2,00:25:00,00:25:00,3909161123,6
B2,00:30:00,00:30:00,1886590988,7
B2,00:35:00,00:35:00,4002201610,8
B2,00:40:00,00:40:00,4478874013,9
B2,00:45:00,00:45:00,4478874012,10
B2,00:50:00,00:50:00,4669952291,11
B2,00:55:00,00:55:00,8412131578,12
B2,01:00:00,01:00:00,316829952,13
B2,01:05:00,01:05:00,4628330183,14
B2,01:10:00,01:10:00,4748562215,15
B2,01:15:00,01:15:00,1885060212,16
B2,01:20:00,01:20:00,4002201652,17
B2,01:25:00,01:25:00,6095358858,18
B2,01:30:00,01:30:00,316824433,19
B2,01:35:00,01:35:00,401866306,20
B2,01:40:00,01:40:00,10970120024,21
B2,01:45:00,01:45:00,6095433434,22
B2,01:50:00,01:50:00,6095471258,23
B2,01:55:00,01:55:00,6095433435,24
B2,02:00:00,02:00:00,6095519914,25
B2,02:05:00,02:05:00,4984424561,26
B2,02:10:00,02:10:00,1263172984,27
B2,02:15:00,02:15:00,1263173062,28
B2,02:20:00,02:20:00,316824788,29
trip_id,arrival_time,departure_time,stop_id,stop_sequence
Y1,00:00:00,00:00:00,1886590988,1
Y1,00:05:00,00:05:00,1886590968,2
Y1,00:10:00,00:10:00,4792326286,3
Y1,00:15:00,00:15:00,8412131579,4
Y1,00:20:00,00:20:00,316824347,5
Y1,00:25:00,00:25:00,5969128858,6
Y1,00:30:00,00:30:00,3950015169,7
Y1,00:35:00,00:35:00,316829952,8
Y1,00:40:00,00:40:00,4628330183,9
Y1,00:45:00,00:45:00,4748562215,10
Y1,00:50:00,00:50:00,1885060212,11
Y1,00:55:00,00:55:00,4002201650,12
Y1,01:00:00,01:00:00,4748507684,13
Y1,01:05:00,01:05:00,6095379250,14
Y1,01:10:00,01:10:00,316824433,15
Y1,01:15:00,01:15:00,401866306,16
Y1,01:20:00,01:20:00,10970120024,17
Y1,01:25:00,01:25:00,6095433434,18
Y1,01:30:00,01:30:00,6095471258,19
Y1,01:35:00,01:35:00,6095433435,20
Y1,01:40:00,01:40:00,6095519914,21
Y1,01:45:00,01:45:00,4984424561,22
Y1,01:50:00,01:50:00,1263172984,23
Y1,01:55:00,01:55:00,1263173062,24
Y2,00:00:00,00:00:00,1886590988,1
Y2,00:05:00,00:05:00,4002201610,2
Y2,00:10:00,00:10:00,4478874013,3
Y2,00:15:00,00:15:00,4478874012,4
Y2,00:20:00,00:20:00,4669952291,5
Y2,00:25:00,00:25:00,8412131578,6
Y2,00:30:00,00:30:00,316829952,7
Y2,00:35:00,00:35:00,4628330183,8
Y2,00:40:00,00:40:00,4748562215,9
Y2,00:45:00,00:45:00,1885060212,10
Y2,00:50:00,00:50:00,4002201652,11
Y2,00:55:00,00:55:00,6095358858,12
Y2,01:00:00,01:00:00,316824433,13
Y2,01:05:00,01:05:00,401866306,14
Y2,01:10:00,01:10:00,10970120024,15
Y2,01:15:00,01:15:00,6095433434,16
Y2,01:20:00,01:20:00,6095471258,17
Y2,01:25:00,01:25:00,6095433435,18
Y2,01:30:00,01:30:00,6095519914,19
Y2,01:35:00,01:35:00,4984424561,20
Y2,01:40:00,01:40:00,1263172984,21
Y2,01:45:00,01:45:00,1263173062,22
